"year";"orgnr";"var";"denominator";"ind_id"
2014;974703300;449;463;"hoftebrudd_dekgrad_prim_brudd"
2015;974703300;439;451;"hoftebrudd_dekgrad_prim_brudd"
2016;974703300;410;413;"hoftebrudd_dekgrad_prim_brudd"
2017;974703300;429;444;"hoftebrudd_dekgrad_prim_brudd"
2018;974703300;461;462;"hoftebrudd_dekgrad_prim_brudd"
2008;974705788;265;305;"hoftebrudd_dekgrad_prim_brudd"
2009;974705788;277;291;"hoftebrudd_dekgrad_prim_brudd"
2010;974705788;296;316;"hoftebrudd_dekgrad_prim_brudd"
2011;974705788;297;326;"hoftebrudd_dekgrad_prim_brudd"
2012;974705788;292;322;"hoftebrudd_dekgrad_prim_brudd"
2013;974705788;266;296;"hoftebrudd_dekgrad_prim_brudd"
2014;974705788;268;297;"hoftebrudd_dekgrad_prim_brudd"
2015;974705788;266;285;"hoftebrudd_dekgrad_prim_brudd"
2016;974705788;265;280;"hoftebrudd_dekgrad_prim_brudd"
2017;974705788;271;294;"hoftebrudd_dekgrad_prim_brudd"
2018;974705788;269;297;"hoftebrudd_dekgrad_prim_brudd"
2008;974706490;357;481;"hoftebrudd_dekgrad_prim_brudd"
2009;974706490;382;485;"hoftebrudd_dekgrad_prim_brudd"
2010;974706490;376;427;"hoftebrudd_dekgrad_prim_brudd"
2011;974706490;629;730;"hoftebrudd_dekgrad_prim_brudd"
2012;974706490;641;730;"hoftebrudd_dekgrad_prim_brudd"
2013;974706490;634;710;"hoftebrudd_dekgrad_prim_brudd"
2014;974706490;563;611;"hoftebrudd_dekgrad_prim_brudd"
2015;974706490;538;580;"hoftebrudd_dekgrad_prim_brudd"
2016;974706490;600;661;"hoftebrudd_dekgrad_prim_brudd"
2017;974706490;638;665;"hoftebrudd_dekgrad_prim_brudd"
2018;974706490;618;658;"hoftebrudd_dekgrad_prim_brudd"
2016;974707152;0;2;"hoftebrudd_dekgrad_prim_brudd"
2017;974707152;0;1;"hoftebrudd_dekgrad_prim_brudd"
2008;974724774;205;223;"hoftebrudd_dekgrad_prim_brudd"
2009;974724774;223;226;"hoftebrudd_dekgrad_prim_brudd"
2010;974724774;230;239;"hoftebrudd_dekgrad_prim_brudd"
2011;974724774;195;201;"hoftebrudd_dekgrad_prim_brudd"
2012;974724774;198;203;"hoftebrudd_dekgrad_prim_brudd"
2013;974724774;252;256;"hoftebrudd_dekgrad_prim_brudd"
2014;974724774;212;221;"hoftebrudd_dekgrad_prim_brudd"
2015;974724774;205;218;"hoftebrudd_dekgrad_prim_brudd"
2016;974724774;239;239;"hoftebrudd_dekgrad_prim_brudd"
