"year";"orgnr";"var";"ind_id";"denominator"
2019;974745569;4;"nger_kompl_postop_lap";46
2019;974631326;20;"nger_kompl_postop_lap";191
2019;974631407;3;"nger_kompl_postop_lap";34
2019;974631091;7;"nger_kompl_postop_lap";83
2019;974631385;3;"nger_kompl_postop_lap";61
2019;974705788;9;"nger_kompl_postop_lap";113
2019;974744570;3;"nger_kompl_postop_lap";37
2019;974703300;21;"nger_kompl_postop_lap";174
2019;974743272;2;"nger_kompl_postop_lap";45
2019;974737779;3;"nger_kompl_postop_lap";74
2019;974749025;14;"nger_kompl_postop_lap";173
2019;974633752;9;"nger_kompl_postop_lap";119
2019;974706490;13;"nger_kompl_postop_lap";207
2019;974595214;1;"nger_kompl_postop_lap";10
2019;974631768;10;"nger_kompl_postop_lap";98
2019;974632535;12;"nger_kompl_postop_lap";129
2019;974633574;27;"nger_kompl_postop_lap";273
2019;874632562;6;"nger_kompl_postop_lap";88
2019;974633221;19;"nger_kompl_postop_lap";160
2019;974631776;1;"nger_kompl_postop_lap";28
2019;974795787;5;"nger_kompl_postop_lap";57
2019;974589095;52;"nger_kompl_postop_lap";798
2019;974707152;10;"nger_kompl_postop_lap";112
2019;974795515;2;"nger_kompl_postop_lap";34
2019;974724774;12;"nger_kompl_postop_lap";124
2019;974742985;5;"nger_kompl_postop_lap";82
2019;974795639;3;"nger_kompl_postop_lap";28
2019;974795361;14;"nger_kompl_postop_lap";129
2019;974795558;0;"nger_kompl_postop_lap";7
2020;974733013;1;"nger_kompl_postop_lap";32
2020;974795574;0;"nger_kompl_postop_lap";1
